Country Name,"Country Code","Series Name","Series Code","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
World,"WLD","Population, total","SP.POP.TOTL","7528879985","7614523410","7697233736","7778008621","7854748424","7920514854","7989545217","8064057930","8141808945",".."
World,"WLD","Population growth (annual %)","SP.POP.GROW","1.16500012197801","1.13111083254035","1.08036105447289","1.04393348684165","0.981789958072561","0.833796683538021","0.867762860278982","0.92830559485171","0.959548935772442",".."
World,"WLD","Surface area (sq. km)","AG.SRF.TOTL.K2","140384998.854","140388337.658","140388117.186","140489642.695","140496038.92","140490177.614","140419456.722","..","..",".."
World,"WLD","Population density (people per sq. km of land area)","EN.POP.DNST","57.9344044255455","58.5967120693699","59.2328051474011","59.8544799078542","60.4468430446648","61.0288760939611","61.591254360527","..","..",".."
World,"WLD","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","..","..","..","..","..","..","..","..","..",".."
World,"WLD","Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population)","SI.POV.DDAY","12.6","11.9","11.2","..","11.4","11.2","10.8","10.5","10.3",".."
World,"WLD","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","77811760844740.9","79261540731178.5","85492889469201.8","89743451490901.5","87193643241814.7","96583840486130.2","103742155460206","107467297749922","109446269053129",".."
World,"WLD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","10335.1044245316","10409.2582638968","11106.9628910125","11538.101314082","11100.7556875274","12194.1366522851","12984.7385104556","13326.702099959","13442.5002837166",".."
World,"WLD","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","117964945738391","124685138676898","132510206191679","140448345935177","139875910428698","156320630910539","174400485671922","187255424186075","198333710325430",".."
World,"WLD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","15668.3259626154","16374.6477570943","17215.3023718026","18057.1085452358","17807.8154611942","19736.1704121537","21828.5873519854","23220.9919387415","24359.90719817",".."
World,"WLD","Income share held by lowest 20%","SI.DST.FRST.20","..","..","..","..","..","..","..","..","..",".."
World,"WLD","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.1847345079995","72.3651515431591","72.6433904952398","72.8686568501624","72.1819792006819","71.2152192461602","72.9682902550636","73.3289501544845","..",".."
World,"WLD","Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","2.49142099814092","2.45985817453245","2.39176812517027","2.35327354169831","2.27641712252834","2.24577248748034","2.21522779577453","2.19590911593139","..",".."
World,"WLD","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.0303451123913","43.0468317538127","42.0389121089523","41.1769435530081","40.2200992643883","39.7326545645705","39.2866590040928","39.0628007472648","..",".."
World,"WLD","Contraceptive prevalence, any method (% of married women ages 15-49)","SP.DYN.CONU.ZS","..","..","..","..","..","..","..","..","..",".."
World,"WLD","Births attended by skilled health staff (% of total)","SH.STA.BRTC.ZS","..","..","..","83.2696995034175","..","..","..","..","..",".."
World,"WLD","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","42.4","41.3","40.2","39.5","38.7","38.2","38.2","36.7","..",".."
World,"WLD","Prevalence of underweight, weight for age (% of children under 5)","SH.STA.MALN.ZS","13.97","13.62","13.32","13.06","12.85","12.66","12.51","12.36","12.18",".."
World,"WLD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","85.0482052177225","85.3269880084551","86.4149162729794","86.232004785671","83.8787667194513","82.0400613125608","83.6911559206321","83.0128854013864","84.3019622532265",".."
